Intertion times,Searching times,Insert Collisions,Search Collisions
135, 21,0,0
159, 22,0,0
150, 22,0,0
146, 22,0,0
89, 23,0,0
133, 23,0,0
125, 24,0,0
127, 23,0,0
121, 23,0,0
87, 26,0,1
122, 26,0,2
125, 25,0,0
118, 24,0,0
80, 24,1,1
121, 26,0,4
116, 25,1,2
232, 26,0,2
112, 26,1,3
68, 25,0,1
108, 25,0,1
139, 26,0,2
105, 27,0,5
110, 26,1,1
65, 26,0,2
107, 25,0,0
110, 27,1,2
104, 26,0,2
56, 26,0,1
103, 26,1,2
105, 27,1,3
96, 27,0,4
99, 27,0,2
58, 26,1,1
95, 27,0,4
100, 26,1,2
96, 28,3,4
51, 27,0,3
98, 27,4,7
94, 27,1,3
94, 26,0,1
95, 27,3,1
50, 28,2,5
93, 27,2,4
91, 26,2,0
92, 27,0,3
56, 26,0,1
91, 26,1,1
97, 28,1,7
129, 49,0,3
170, 53,0,2
57, 28,2,3
113, 31,2,3
93, 29,1,5
95, 27,4,1
95, 27,5,3
53, 31,4,6
94, 29,3,5
93, 29,1,8
191, 29,0,5
53, 29,4,7
96, 30,2,4
96, 30,10,0
90, 29,2,5
93, 31,2,7
56, 30,5,6
96, 30,4,5
93, 32,3,9
94, 30,7,5
50, 30,6,6
96, 30,1,4
94, 29,7,5
94, 31,9,4
93, 29,2,6
53, 28,7,4
94, 31,3,4
97, 29,8,3
96, 30,8,7
52, 29,10,7
92, 30,6,8
92, 29,3,7
92, 28,6,2
93, 29,8,6
51, 28,5,6
94, 31,5,14
91, 30,7,4
93, 29,6,6
95, 30,13,10
51, 28,11,7
93, 31,3,2
92, 30,6,9
99, 29,16,6
86, 30,9,5
98, 35,9,7
93, 30,11,9
93, 30,10,9
92, 32,7,8
51, 29,11,3
97, 33,13,9
94, 29,10,6
95, 33,19,9
55, 32,19,12
176, 34,11,13
94, 35,9,8
97, 30,19,6
98, 31,10,10
54, 34,16,13
101, 33,23,14
97, 29,17,3
96, 31,10,16
55, 33,14,8
99, 31,23,5
95, 32,21,14
99, 37,33,20
97, 31,33,6
53, 28,26,6
99, 33,31,18
96, 33,25,13
97, 31,20,8
101, 30,23,7
53, 29,20,9
119, 30,20,10
97, 30,23,13
101, 31,19,14
52, 34,19,17
98, 29,16,7
95, 32,9,10
97, 30,25,12
96, 31,23,5
55, 32,23,13
97, 30,25,13
94, 34,12,18
99, 33,26,17
56, 45,20,29
96, 33,20,15
99, 32,51,20
97, 28,23,5
96, 31,18,16
58, 33,34,19
102, 32,51,15
100, 31,36,11
96, 31,29,12
58, 35,33,28
100, 31,41,13
178, 33,33,17
101, 33,44,17
103, 33,41,18
61, 34,43,19
101, 34,31,21
101, 30,35,11
101, 30,35,13
102, 31,40,13
59, 30,37,13
101, 34,40,25
103, 34,38,19
102, 28,52,5
59, 30,56,10
105, 32,56,13
103, 33,42,14
105, 36,58,25
104, 35,44,13
60, 35,55,18
103, 36,41,19
101, 37,40,19
103, 34,64,17
62, 35,43,19
104, 38,53,19
104, 34,50,9
103, 36,48,22
105, 37,49,24
61, 40,60,19
104, 35,49,22
100, 42,45,28
101, 36,56,18
60, 35,62,18
117, 38,75,30
104, 41,68,29
104, 32,81,10
102, 31,43,9
60, 34,50,10
106, 34,63,15
109, 41,93,29
104, 38,45,20
106, 40,73,37
66, 40,73,28
103, 39,83,28
183, 36,68,17
104, 36,51,20
61, 39,70,19
107, 35,108,22
101, 38,52,23
107, 37,81,27
106, 37,73,19
66, 42,69,20
106, 38,80,17
106, 37,86,27
106, 40,86,29
68, 39,99,25
109, 36,135,24
110, 36,94,32
107, 38,84,32
107, 39,80,31
65, 41,109,27
108, 36,92,19
110, 40,126,46
107, 37,82,27
66, 41,85,37
113, 39,147,38
110, 36,130,25
111, 34,154,19
111, 39,170,30
65, 43,82,40
111, 32,103,16
112, 39,101,48
109, 37,125,32
110, 39,139,27
65, 35,98,19
113, 37,186,35
114, 43,165,33
109, 45,152,45
69, 45,163,35
115, 40,122,30
112, 40,129,26
111, 43,148,32
109, 43,123,22
69, 49,148,48
109, 39,119,18
111, 40,128,42
193, 41,175,39
68, 44,184,28
115, 44,217,34
115, 46,190,47
115, 41,207,17
115, 39,270,25
70, 40,239,22
112, 37,162,27
110, 42,135,22
112, 44,172,48
68, 44,206,35
115, 41,187,30
113, 40,226,26
114, 39,208,34
111, 42,180,29
73, 44,336,40
116, 48,238,57
114, 45,199,50
113, 43,180,37
114, 51,235,54
71, 43,202,39
117, 42,293,23
119, 45,243,39
114, 54,235,76
71, 50,229,35
119, 43,330,34
112, 43,198,34
114, 46,214,43
114, 47,256,26
69, 51,214,40
116, 57,278,69
120, 52,382,49
110, 56,152,48
74, 55,287,53
120, 62,302,89
115, 55,185,49
116, 61,265,103
114, 60,299,52
73, 55,252,54
115, 44,224,40
115, 52,315,56
115, 57,301,62
74, 48,324,34
203, 51,418,88
120, 44,430,41
120, 50,462,41
118, 46,325,48
74, 56,360,61
116, 52,350,65
118, 45,387,30
116, 56,352,86
119, 61,435,110
77, 50,401,72
121, 50,410,86
119, 50,430,79
116, 46,374,33
73, 57,361,92
120, 46,476,38
122, 47,502,36
120, 57,445,69
119, 48,466,82
93, 48,515,63
123, 51,521,72
122, 55,484,108
120, 55,518,75
77, 52,457,105
118, 45,418,56
121, 51,589,92
124, 43,696,36
122, 43,733,38
81, 51,766,87
124, 41,592,34
124, 47,632,58
124, 58,678,132
80, 50,616,90
127, 53,718,77
129, 54,840,112
123, 57,721,157
132, 53,1017,88
82, 51,718,87
127, 51,722,96
124, 47,673,104
125, 45,660,61
126, 46,765,56
84, 47,877,53
202, 46,775,68
127, 47,743,83
125, 52,699,99
90, 51,1188,85
131, 55,839,126
129, 51,850,86
133, 49,1056,76
127, 44,821,77
92, 49,1192,86
129, 54,927,129
136, 48,1166,108
141, 53,954,102
93, 51,1321,94
137, 50,1229,150
133, 57,1104,172
136, 50,1255,87
130, 47,1060,111
91, 55,1125,163
148, 64,1706,312
144, 50,1506,135
150, 53,1964,169
109, 49,1931,122
146, 48,1665,78
147, 68,1819,349
153, 52,2001,194
151, 60,1952,257
116, 63,2325,212
153, 49,2036,101
154, 52,2192,106
155, 48,2201,118
140, 54,1919,176
97, 36,1826,61
166, 57,3165,283
149, 63,2423,306
169, 51,3435,201
113, 51,2629,156
143, 64,2132,369
161, 50,2973,180
152, 57,2481,288
168, 40,3361,74
134, 56,3672,296
175, 54,3724,283
279, 48,5555,156
381, 70,4155,417
162, 78,4522,449
369, 57,4032,211
550, 79,5413,478
197, 190,4087,184
257, 41,7916,72
158, 57,4844,245
241, 69,6992,357
225, 70,6223,328
224, 48,6157,109
258, 44,9912,90
467, 61,8363,208
255, 76,7673,382
370, 94,13460,550
266, 71,8338,390
304, 72,12145,418
336, 80,11824,407
281, 65,8862,306
352, 76,12513,396
310, 108,10470,786
696, 237,14740,214
570, 123,16300,921
419, 61,15706,240
530, 57,21447,226
483, 107,21221,781
558, 86,21496,515
587, 74,24379,427
685, 127,29170,1281
874, 93,38768,733
649, 70,29560,345
759, 287,32873,3485
827, 180,35681,1955
1040, 71,46916,439
834, 79,38901,616
1266, 68,58476,375
1251, 65,57858,482
1390, 50,64820,210
1544, 62,72310,347
2793, 218,110729,1736
5539, 287,232968,2543
5747, 214,256011,2396
9342, 255,438353,1340
11300, 383,526856,2748
16289, 203,774464,1168
32902, 195,1552245,859
